t,phi1,phi2,phi1dot,phi2dot,deltaE
17.25,0.770348,23.3326,-0.0406453,0.734103,-0.00105347
17.3,0.788306,23.401,-0.173625,0.81069,-0.00105346
17.35,0.804423,23.4691,-0.307343,0.886759,-0.00105345
17.4,0.818617,23.537,-0.440994,0.961497,-0.00105343
17.45,0.83082,23.6047,-0.57378,1.0341,-0.00105342
17.5,0.840971,23.6722,-0.704923,1.10379,-0.0010534
17.55,0.849021,23.7394,-0.833664,1.16979,-0.00105337
17.6,0.85493,23.8066,-0.959265,1.23137,-0.00105335
17.65,0.858658,23.8737,-1.081,1.28779,-0.00105332
17.7,0.860174,23.9409,-1.19817,1.33836,-0.0010533
17.75,0.859441,24.0083,-1.31005,1.38236,-0.00105327
17.8,0.856422,24.0762,-1.41591,1.41906,-0.00105323
17.85,0.851071,24.1447,-1.51499,1.44772,-0.0010532
17.9,0.843332,24.2141,-1.60648,1.46754,-0.00105315
17.95,0.833132,24.2847,-1.68952,1.47768,-0.00105311
18,0.820375,24.357,-1.76313,1.47718,-0.00105305
18.05,0.804935,24.4312,-1.82623,1.465,-0.00105298
18.1,0.786642,24.508,-1.87757,1.43995,-0.00105289
18.15,0.765272,24.588,-1.91577,1.40066,-0.00105276
18.2,0.740517,24.6721,-1.93921,1.34561,-0.00105256
18.25,0.711959,24.7614,-1.94611,1.27308,-0.00105217
18.3,0.679013,24.8574,-1.9346,1.18133,-0.00105127
18.35,0.640854,24.9622,-1.90317,1.06898,-0.00104868
18.4,0.596322,25.0787,-1.85196,0.936374,-0.00104011
18.45,0.543879,25.2107,-1.78681,0.789668,-0.00101102
18.5,0.482122,25.362,-1.73002,0.6516,-0.000949692
18.55,0.412261,25.5304,-1.73298,0.574298,-0.000993925
18.6,0.341368,25.7,-1.83819,0.601163,-0.00109003
18.65,0.277149,25.8534,-2.0122,0.699574,-0.00118412
18.7,0.221484,25.9868,-2.20069,0.815703,-0.00122422
18.75,0.173099,26.1033,-2.37761,0.923737,-0.0012358
18.8,0.130392,26.2069,-2.53537,1.01622,-0.00123923
18.85,0.0921012,26.3004,-2.67315,1.09237,-0.00124036
18.9,0.0573084,26.3859,-2.7922,1.15348,-0.00124079
18.95,0.0253389,26.4649,-2.89424,1.20128,-0.00124097
19,-0.00431456,26.5384,-2.98102,1.23753,-0.00124106
19.05,-0.0320445,26.6072,-3.05409,1.26378,-0.0012411
19.1,-0.0581639,26.6719,-3.11483,1.28142,-0.00124113
19.15,-0.0829289,26.7328,-3.16445,1.29163,-0.00124114
19.2,-0.106555,26.7903,-3.20396,1.29544,-0.00124115
19.25,-0.129228,26.8446,-3.23426,1.29373,-0.00124116
19.3,-0.151111,26.8959,-3.25612,1.28725,-0.00124116
19.35,-0.172349,26.9444,-3.27019,1.27665,-0.00124116
19.4,-0.193075,26.99,-3.27703,1.26249,-0.00124116
19.45,-0.213412,27.0328,-3.27712,1.24522,-0.00124116
19.5,-0.233471,27.0728,-3.27087,1.22524,-0.00124116
19.55,-0.253359,27.11,-3.25863,1.20287,-0.00124116
19.6,-0.273172,27.1444,-3.24068,1.17838,-0.00124116
19.65,-0.293001,27.176,-3.21725,1.15198,-0.00124116
19.7,-0.312929,27.2046,-3.18855,1.12384,-0.00124115
19.75,-0.333028,27.2302,-3.15473,1.0941,-0.00124115
19.8,-0.353361,27.2527,-3.11594,1.06284,-0.00124115
19.85,-0.373982,27.2722,-3.07227,1.03014,-0.00124115
19.9,-0.394932,27.2885,-3.02384,0.996057,-0.00124115
19.95,-0.416239,27.3016,-2.97073,0.960633,-0.00124115
20,-0.437918,27.3115,-2.91305,0.923899,-0.00124115
20.05,-0.459972,27.3183,-2.85087,0.885879,-0.00124115
20.1,-0.482393,27.3219,-2.78428,0.846597,-0.00124115
20.15,-0.505157,27.3224,-2.7134,0.80607,-0.00124115
20.2,-0.528235,27.3198,-2.6383,0.764315,-0.00124115
20.25,-0.551585,27.3143,-2.5591,0.721343,-0.00124115
20.3,-0.57516,27.3058,-2.47589,0.677163,-0.00124115
20.35,-0.598907,27.2946,-2.38878,0.631778,-0.00124115
