t,phi1,phi2,phi1dot,phi2dot,deltaE
19.1,0.362442,14.4448,-1.62114,1.30553,-0.000862577
19.15,0.348229,14.5102,-1.71054,1.29563,-0.000862581
19.2,0.334939,14.573,-1.7941,1.283,-0.000862581
19.25,0.322413,14.6334,-1.87247,1.2683,-0.00086258
19.3,0.310512,14.6915,-1.94619,1.25211,-0.000862578
19.35,0.299107,14.7474,-2.01574,1.23489,-0.000862575
19.4,0.288081,14.8013,-2.08152,1.21709,-0.000862573
19.45,0.277322,14.8532,-2.14385,1.19903,-0.00086257
19.5,0.266728,14.9031,-2.20303,1.18102,-0.000862567
19.55,0.256196,14.9511,-2.25926,1.16329,-0.000862565
19.6,0.24563,14.9971,-2.31271,1.14602,-0.000862563
19.65,0.234937,15.0412,-2.36351,1.12935,-0.000862561
19.7,0.224024,15.0833,-2.41173,1.11337,-0.00086256
19.75,0.212804,15.1233,-2.4574,1.09812,-0.000862559
19.8,0.201189,15.1612,-2.50052,1.08362,-0.000862559
19.85,0.189097,15.1969,-2.54105,1.06983,-0.000862559
19.9,0.176448,15.2303,-2.57892,1.05672,-0.000862559
19.95,0.163168,15.2614,-2.61403,1.04419,-0.00086256
20,0.149191,15.2901,-2.64625,1.03214,-0.000862561
20.05,0.134455,15.3162,-2.67547,1.02046,-0.000862562
20.1,0.118912,15.3398,-2.70153,1.00903,-0.000862564
20.15,0.102522,15.3607,-2.7243,0.997719,-0.000862566
20.2,0.0852592,15.3789,-2.74365,0.986416,-0.000862568
20.25,0.0671101,15.3945,-2.75945,0.975012,-0.000862569
20.3,0.0480762,15.4074,-2.7716,0.963412,-0.000862571
20.35,0.028173,15.4177,-2.78,0.951539,-0.000862573
20.4,0.00742989,15.4253,-2.78459,0.939334,-0.000862574
20.45,-0.0141109,15.4306,-2.78533,0.926754,-0.000862575
20.5,-0.0363954,15.4334,-2.78218,0.913768,-0.000862575
20.55,-0.0593601,15.434,-2.77514,0.90036,-0.000862576
20.6,-0.0829329,15.4325,-2.7642,0.886521,-0.000862576
20.65,-0.107036,15.4291,-2.74938,0.872249,-0.000862575
20.7,-0.131586,15.4238,-2.73071,0.857542,-0.000862575
20.75,-0.156499,15.417,-2.70821,0.842401,-0.000862575
20.8,-0.181687,15.4088,-2.68193,0.826826,-0.000862574
20.85,-0.207064,15.3993,-2.65191,0.810814,-0.000862574
20.9,-0.232544,15.3887,-2.61819,0.794362,-0.000862573
20.95,-0.258043,15.3771,-2.58083,0.777461,-0.000862573
21,-0.283479,15.3648,-2.53988,0.760104,-0.000862573
21.05,-0.308775,15.3519,-2.49541,0.742279,-0.000862573
21.1,-0.333855,15.3384,-2.44748,0.723976,-0.000862572
21.15,-0.358647,15.3246,-2.39615,0.705181,-0.000862572
21.2,-0.383084,15.3105,-2.34152,0.685884,-0.000862572
21.25,-0.407101,15.2963,-2.28365,0.666073,-0.000862572
