K,V,E,T,Eerr
61.1923,-2.38764,58.8047,76.1581,-1.11162e-05
61.1811,-2.37647,58.8047,76.1442,-1.12453e-05
61.1712,-2.36652,58.8047,76.1318,-1.12954e-05
61.1624,-2.35776,58.8047,76.1209,-1.14022e-05
61.1548,-2.35015,58.8047,76.1114,-1.14295e-05
61.1483,-2.34367,58.8047,76.1033,-1.13771e-05
61.143,-2.33829,58.8047,76.0966,-1.13121e-05
61.1387,-2.33402,58.8047,76.0913,-1.11665e-05
61.1355,-2.33086,58.8047,76.0874,-1.10766e-05
61.1335,-2.32883,58.8047,76.0849,-1.10417e-05
61.1326,-2.32794,58.8047,76.0838,-1.10618e-05
61.1329,-2.32823,58.8047,76.0841,-1.10006e-05
61.1344,-2.32973,58.8047,76.086,-1.09263e-05
61.1372,-2.3325,58.8047,76.0895,-1.08387e-05
61.1413,-2.33661,58.8047,76.0946,-1.07379e-05
61.1468,-2.34211,58.8047,76.1015,-1.04874e-05
61.1538,-2.34912,58.8047,76.1102,-1.03609e-05
61.1625,-2.35771,58.8047,76.1209,-1.01542e-05
61.1727,-2.368,58.8047,76.1337,-1.00713e-05
61.185,-2.38022,58.8048,76.1489,-9.92696e-06
61.1992,-2.39448,58.8048,76.1667,-9.82348e-06
61.2156,-2.41081,58.8048,76.187,-9.71237e-06
61.2341,-2.42934,58.8048,76.2101,-9.46047e-06
61.255,-2.45024,58.8048,76.2361,-9.34393e-06
61.2784,-2.47364,58.8048,76.2653,-9.02879e-06
61.3045,-2.49971,58.8048,76.2977,-8.79626e-06
61.3334,-2.52861,58.8048,76.3337,-8.65903e-06
61.3653,-2.56044,58.8048,76.3733,-8.43158e-06
61.4002,-2.59533,58.8048,76.4168,-8.41327e-06
61.4382,-2.63332,58.8048,76.464,-8.43853e-06
61.4792,-2.67437,58.8048,76.5151,-8.56316e-06
61.524,-2.71922,58.8048,76.5709,-9.1005e-06
61.5723,-2.76751,58.8047,76.6309,-1.00966e-05
61.6224,-2.81774,58.8047,76.6933,-1.16029e-05
61.6734,-2.86891,58.8045,76.7569,-1.3689e-05
61.7239,-2.91951,58.8044,76.8196,-1.67573e-05
61.7714,-2.96728,58.8041,76.8788,-2.09919e-05
61.8128,-3.00902,58.8037,76.9303,-2.70682e-05
61.8436,-3.04032,58.8033,76.9686,-3.48858e-05
61.8582,-3.05552,58.8027,76.9868,-4.45559e-05
61.8503,-3.04823,58.8021,76.977,-5.49125e-05
61.8132,-3.0116,58.8016,76.9307,-6.43138e-05
61.7415,-2.9402,58.8013,76.8416,-6.82456e-05
61.6361,-2.8344,58.8017,76.7104,-6.13941e-05
61.5075,-2.7045,58.803,76.5504,-3.94107e-05
61.3789,-2.5738,58.8051,76.3903,-3.66908e-06
61.2837,-2.47635,58.8073,76.2718,3.36843e-05
61.2546,-2.44611,58.8085,76.2356,5.4191e-05
61.3093,-2.50131,58.808,76.3037,4.58169e-05
61.4407,-2.63459,58.8061,76.4672,1.36257e-05
61.6209,-2.81704,58.8039,76.6915,-2.4745e-05
61.8151,-3.01288,58.8022,76.9331,-5.37037e-05
61.9946,-3.19324,58.8014,77.1566,-6.70987e-05
62.1436,-3.34219,58.8014,77.342,-6.7422e-05
62.2572,-3.45542,58.8018,77.4834,-6.02045e-05
62.3383,-3.53594,58.8024,77.5844,-5.02507e-05
62.3929,-3.58993,58.803,77.6523,-4.0575e-05
62.4275,-3.62405,58.8034,77.6953,-3.26403e-05
62.4478,-3.64405,58.8038,77.7206,-2.65621e-05
62.4583,-3.65431,58.804,77.7337,-2.25023e-05
62.462,-3.6578,58.8042,77.7382,-1.99565e-05
62.4605,-3.65632,58.8042,77.7365,-1.90599e-05
62.4548,-3.65061,58.8042,77.7294,-1.89351e-05
62.4449,-3.64073,58.8042,77.717,-1.946e-05
62.4304,-3.62624,58.8041,77.6989,-2.0224e-05
62.4106,-3.60653,58.8041,77.6744,-2.09108e-05
62.3852,-3.5811,58.8041,77.6427,-2.11566e-05
62.3541,-3.54993,58.8041,77.6039,-2.0649e-05
62.318,-3.51381,58.8042,77.5591,-1.8607e-05
62.2791,-3.4747,58.8044,77.5107,-1.51601e-05
62.2405,-3.43581,58.8047,77.4626,-1.04972e-05
62.2063,-3.40129,58.805,77.4201,-5.09791e-06
62.181,-3.3757,58.8053,77.3886,-6.53013e-07
62.1684,-3.36293,58.8055,77.3729,2.04182e-06
62.1707,-3.36523,58.8054,77.3757,1.92469e-06
62.1879,-3.38256,58.8053,77.3971,-8.24735e-07
62.2176,-3.41258,58.805,77.4341,-5.45188e-06
